platform,country,city,zone,zone_tier,lat,lng,scraped_at,store_name,store_address,product_label,product_name,price,real_price,discount_pct,delivery_fee,service_fee_pct,eta_minutes,is_product_available,corridor
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T19:48:37,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,9.9,0.0,35.0,False,Big Mac + Coca
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T19:48:37,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",big_mac,Big Mac Tocino,145.0,145.0,0.0,9.9,0.0,35.0,False,Big Mac + Coca
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T19:48:37,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,208.0,208.0,0.0,9.9,0.0,35.0,False,Mc para Todos
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T19:48:37,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",mctrio_big_mac,McTrío mediano Mario Galaxy Big Mac,149.0,149.0,0.0,9.9,0.0,35.0,False,McTrios Comida
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T19:48:37,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",mcnuggets_10,McTrío mediano Mario Galaxy 10 McNuggets,159.0,159.0,0.0,9.9,0.0,35.0,False,McTrios Comida
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T19:48:37,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,9.9,0.0,35.0,False,McTrios Comida
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T19:48:37,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",mctrio_big_mac,McTrío mediano Big Mac,149.0,149.0,0.0,9.9,0.0,35.0,False,McTrios Comida
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T19:48:37,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",mcnuggets_10,McTrio mediano McNuggets 10 pzas,159.0,159.0,0.0,9.9,0.0,35.0,False,McTrios Comida
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T19:48:37,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",big_mac,Big Mac Tocino,145.0,145.0,0.0,9.9,0.0,35.0,False,A La Carta Comida
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T19:48:37,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",big_mac,Big Mac,125.0,125.0,0.0,9.9,0.0,35.0,False,A La Carta Comida
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T19:48:37,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",coca_cola,Coca-Cola Zero mediana,55.0,55.0,0.0,9.9,0.0,35.0,False,Bebidas
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T19:48:37,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",coca_cola,Coca-Cola mediana,55.0,55.0,0.0,9.9,0.0,35.0,False,Bebidas
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T19:48:37,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,9.9,0.0,32.0,False,Big Mac + Coca
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T19:48:37,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,big_mac,Big Mac Tocino,145.0,145.0,0.0,9.9,0.0,32.0,False,Big Mac + Coca
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T19:48:37,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,208.0,208.0,0.0,9.9,0.0,32.0,False,Mc para Todos
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T19:48:37,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,mctrio_big_mac,McTrío mediano Mario Galaxy Big Mac,149.0,149.0,0.0,9.9,0.0,32.0,False,McTrios Comida
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T19:48:37,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,mcnuggets_10,McTrío mediano Mario Galaxy 10 McNuggets,159.0,159.0,0.0,9.9,0.0,32.0,False,McTrios Comida
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T19:48:37,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,9.9,0.0,32.0,False,McTrios Comida
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T19:48:37,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,mctrio_big_mac,McTrío mediano Big Mac,149.0,149.0,0.0,9.9,0.0,32.0,False,McTrios Comida
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T19:48:37,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,mcnuggets_10,McTrio mediano McNuggets 10 pzas,159.0,159.0,0.0,9.9,0.0,32.0,False,McTrios Comida
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T19:48:37,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,big_mac,Big Mac Tocino,145.0,145.0,0.0,9.9,0.0,32.0,False,A La Carta Comida
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T19:48:37,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,big_mac,Big Mac,125.0,125.0,0.0,9.9,0.0,32.0,False,A La Carta Comida
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T19:48:37,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,coca_cola,Coca-Cola Zero mediana,55.0,55.0,0.0,9.9,0.0,32.0,False,Bebidas
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T19:48:37,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,coca_cola,Coca-Cola mediana,55.0,55.0,0.0,9.9,0.0,32.0,False,Bebidas
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T19:48:37,McDonald's - Zona Rosa,"Calle Génova 56, Juárez, 06600 Cuauhtémoc, CDMX",mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,9.9,0.0,28.0,False,Big Mac + Coca
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T19:48:37,McDonald's - Zona Rosa,"Calle Génova 56, Juárez, 06600 Cuauhtémoc, CDMX",big_mac,Big Mac Tocino,145.0,145.0,0.0,9.9,0.0,28.0,False,Big Mac + Coca
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T19:48:37,McDonald's - Zona Rosa,"Calle Génova 56, Juárez, 06600 Cuauhtémoc, CDMX",mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,208.0,208.0,0.0,9.9,0.0,28.0,False,Mc para Todos
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T19:48:37,McDonald's - Zona Rosa,"Calle Génova 56, Juárez, 06600 Cuauhtémoc, CDMX",mctrio_big_mac,McTrío mediano Mario Galaxy Big Mac,149.0,149.0,0.0,9.9,0.0,28.0,False,McTrios Comida
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T19:48:37,McDonald's - Zona Rosa,"Calle Génova 56, Juárez, 06600 Cuauhtémoc, CDMX",mcnuggets_10,McTrío mediano Mario Galaxy 10 McNuggets,159.0,159.0,0.0,9.9,0.0,28.0,False,McTrios Comida
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T19:48:37,McDonald's - Zona Rosa,"Calle Génova 56, Juárez, 06600 Cuauhtémoc, CDMX",mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,9.9,0.0,28.0,False,McTrios Comida
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T19:48:37,McDonald's - Zona Rosa,"Calle Génova 56, Juárez, 06600 Cuauhtémoc, CDMX",mctrio_big_mac,McTrío mediano Big Mac,149.0,149.0,0.0,9.9,0.0,28.0,False,McTrios Comida
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T19:48:37,McDonald's - Zona Rosa,"Calle Génova 56, Juárez, 06600 Cuauhtémoc, CDMX",mcnuggets_10,McTrio mediano McNuggets 10 pzas,159.0,159.0,0.0,9.9,0.0,28.0,False,McTrios Comida
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T19:48:37,McDonald's - Zona Rosa,"Calle Génova 56, Juárez, 06600 Cuauhtémoc, CDMX",big_mac,Big Mac Tocino,145.0,145.0,0.0,9.9,0.0,28.0,False,A La Carta Comida
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T19:48:37,McDonald's - Zona Rosa,"Calle Génova 56, Juárez, 06600 Cuauhtémoc, CDMX",big_mac,Big Mac,125.0,125.0,0.0,9.9,0.0,28.0,False,A La Carta Comida
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T19:48:37,McDonald's - Zona Rosa,"Calle Génova 56, Juárez, 06600 Cuauhtémoc, CDMX",coca_cola,Coca-Cola Zero mediana,55.0,55.0,0.0,9.9,0.0,28.0,False,Bebidas
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T19:48:37,McDonald's - Zona Rosa,"Calle Génova 56, Juárez, 06600 Cuauhtémoc, CDMX",coca_cola,Coca-Cola mediana,55.0,55.0,0.0,9.9,0.0,28.0,False,Bebidas
rappi,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T19:48:37,Mc Donald's  - Parque Hundido, Insurgentes Sur No.1122 Col. Del Valle CP 03100 México D.F,mctrio_big_mac,McTrío mediano Big Mac Tocino,185.0,185.0,0.0,9.9,0.0,32.0,False,Big Mac + Coca
rappi,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T19:48:37,Mc Donald's  - Parque Hundido, Insurgentes Sur No.1122 Col. Del Valle CP 03100 México D.F,big_mac,Big Mac Tocino,159.0,159.0,0.0,9.9,0.0,32.0,False,Big Mac + Coca
rappi,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T19:48:37,Mc Donald's  - Parque Hundido, Insurgentes Sur No.1122 Col. Del Valle CP 03100 México D.F,mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,218.0,218.0,0.0,9.9,0.0,32.0,False,Mc para Todos
rappi,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T19:48:37,Mc Donald's  - Parque Hundido, Insurgentes Sur No.1122 Col. Del Valle CP 03100 México D.F,mctrio_big_mac,McTrío mediano Big Mac Tocino,185.0,185.0,0.0,9.9,0.0,32.0,False,McTrios Comida
rappi,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T19:48:37,Mc Donald's  - Parque Hundido, Insurgentes Sur No.1122 Col. Del Valle CP 03100 México D.F,mctrio_big_mac,McTrío mediano Big Mac,165.0,165.0,0.0,9.9,0.0,32.0,False,McTrios Comida
rappi,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T19:48:37,Mc Donald's  - Parque Hundido, Insurgentes Sur No.1122 Col. Del Valle CP 03100 México D.F,mcnuggets_10,McTrio mediano McNuggets 10 pzas,175.0,175.0,0.0,9.9,0.0,32.0,False,McTrios Comida
rappi,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T19:48:37,Mc Donald's  - Parque Hundido, Insurgentes Sur No.1122 Col. Del Valle CP 03100 México D.F,big_mac,Big Mac Tocino,159.0,159.0,0.0,9.9,0.0,32.0,False,A La Carta Comida
rappi,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T19:48:37,Mc Donald's  - Parque Hundido, Insurgentes Sur No.1122 Col. Del Valle CP 03100 México D.F,big_mac,Big Mac,139.0,139.0,0.0,9.9,0.0,32.0,False,A La Carta Comida
rappi,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T19:48:37,Mc Donald's  - Parque Hundido, Insurgentes Sur No.1122 Col. Del Valle CP 03100 México D.F,coca_cola,Coca-Cola Zero mediana,59.0,59.0,0.0,9.9,0.0,32.0,False,Bebidas
rappi,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T19:48:37,Mc Donald's  - Parque Hundido, Insurgentes Sur No.1122 Col. Del Valle CP 03100 México D.F,coca_cola,Coca-Cola mediana,59.0,59.0,0.0,9.9,0.0,32.0,False,Bebidas
rappi,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T19:48:37,Mc Donald's División del Norte,"Héroes Del 47 No. 140 Col Parque De San Andrés Deleg Coyoacan, Cdmx Cp 04040 Ciudad De Mexico",mctrio_big_mac,McTrío mediano Big Mac Tocino,189.0,189.0,0.0,9.9,0.0,28.0,False,Big Mac + Coca
rappi,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T19:48:37,Mc Donald's División del Norte,"Héroes Del 47 No. 140 Col Parque De San Andrés Deleg Coyoacan, Cdmx Cp 04040 Ciudad De Mexico",big_mac,Big Mac Tocino,165.0,165.0,0.0,9.9,0.0,28.0,False,Big Mac + Coca
rappi,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T19:48:37,Mc Donald's División del Norte,"Héroes Del 47 No. 140 Col Parque De San Andrés Deleg Coyoacan, Cdmx Cp 04040 Ciudad De Mexico",mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,218.0,218.0,0.0,9.9,0.0,28.0,False,Mc para Todos
rappi,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T19:48:37,Mc Donald's División del Norte,"Héroes Del 47 No. 140 Col Parque De San Andrés Deleg Coyoacan, Cdmx Cp 04040 Ciudad De Mexico",mctrio_big_mac,McTrío mediano Big Mac Tocino,189.0,189.0,0.0,9.9,0.0,28.0,False,McTrios Comida
rappi,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T19:48:37,Mc Donald's División del Norte,"Héroes Del 47 No. 140 Col Parque De San Andrés Deleg Coyoacan, Cdmx Cp 04040 Ciudad De Mexico",mctrio_big_mac,McTrío mediano Big Mac,169.0,169.0,0.0,9.9,0.0,28.0,False,McTrios Comida
rappi,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T19:48:37,Mc Donald's División del Norte,"Héroes Del 47 No. 140 Col Parque De San Andrés Deleg Coyoacan, Cdmx Cp 04040 Ciudad De Mexico",mcnuggets_10,McTrio mediano McNuggets 10 pzas,179.0,179.0,0.0,9.9,0.0,28.0,False,McTrios Comida
rappi,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T19:48:37,Mc Donald's División del Norte,"Héroes Del 47 No. 140 Col Parque De San Andrés Deleg Coyoacan, Cdmx Cp 04040 Ciudad De Mexico",big_mac,Big Mac Tocino,165.0,165.0,0.0,9.9,0.0,28.0,False,A La Carta Comida
rappi,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T19:48:37,Mc Donald's División del Norte,"Héroes Del 47 No. 140 Col Parque De San Andrés Deleg Coyoacan, Cdmx Cp 04040 Ciudad De Mexico",big_mac,Big Mac,145.0,145.0,0.0,9.9,0.0,28.0,False,A La Carta Comida
rappi,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T19:48:37,Mc Donald's División del Norte,"Héroes Del 47 No. 140 Col Parque De San Andrés Deleg Coyoacan, Cdmx Cp 04040 Ciudad De Mexico",coca_cola,Coca-Cola Zero mediana,65.0,65.0,0.0,9.9,0.0,28.0,False,Bebidas
rappi,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T19:48:37,Mc Donald's División del Norte,"Héroes Del 47 No. 140 Col Parque De San Andrés Deleg Coyoacan, Cdmx Cp 04040 Ciudad De Mexico",coca_cola,Coca-Cola mediana,65.0,65.0,0.0,9.9,0.0,28.0,False,Bebidas
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-04-07T19:48:37,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,9.9,0.0,32.0,False,Big Mac + Coca
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-04-07T19:48:37,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",big_mac,Big Mac Tocino,145.0,145.0,0.0,9.9,0.0,32.0,False,Big Mac + Coca
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-04-07T19:48:37,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,208.0,208.0,0.0,9.9,0.0,32.0,False,Mc para Todos
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-04-07T19:48:37,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",mctrio_big_mac,McTrío mediano Mario Galaxy Big Mac,149.0,149.0,0.0,9.9,0.0,32.0,False,McTrios Comida
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-04-07T19:48:37,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",mcnuggets_10,McTrío mediano Mario Galaxy 10 McNuggets,159.0,159.0,0.0,9.9,0.0,32.0,False,McTrios Comida
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-04-07T19:48:37,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,9.9,0.0,32.0,False,McTrios Comida
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-04-07T19:48:37,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",mctrio_big_mac,McTrío mediano Big Mac,149.0,149.0,0.0,9.9,0.0,32.0,False,McTrios Comida
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-04-07T19:48:37,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",mcnuggets_10,McTrio mediano McNuggets 10 pzas,159.0,159.0,0.0,9.9,0.0,32.0,False,McTrios Comida
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-04-07T19:48:37,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",big_mac,Big Mac Tocino,145.0,145.0,0.0,9.9,0.0,32.0,False,A La Carta Comida
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-04-07T19:48:37,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",big_mac,Big Mac,125.0,125.0,0.0,9.9,0.0,32.0,False,A La Carta Comida
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-04-07T19:48:37,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",coca_cola,Coca-Cola Zero mediana,55.0,55.0,0.0,9.9,0.0,32.0,False,Bebidas
rappi,MX,CDMX,Centro Histórico,mid,19.4326,-99.1332,2026-04-07T19:48:37,Mc Donald's - Palma Centro,"Palma Norte No 315, Loc. En PB Esquina Tacuba Col. Centro Delegación Cuauhtémoc CP. 06020, México D.F.",coca_cola,Coca-Cola mediana,55.0,55.0,0.0,9.9,0.0,32.0,False,Bebidas
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,9.9,0.0,30.0,False,Big Mac + Coca
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",big_mac,Big Mac Tocino,145.0,145.0,0.0,9.9,0.0,30.0,False,Big Mac + Coca
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,208.0,208.0,0.0,9.9,0.0,30.0,False,Mc para Todos
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",mctrio_big_mac,McTrío mediano Mario Galaxy Big Mac,149.0,149.0,0.0,9.9,0.0,30.0,False,McTrios Comida
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",mcnuggets_10,McTrío mediano Mario Galaxy 10 McNuggets,159.0,159.0,0.0,9.9,0.0,30.0,False,McTrios Comida
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,9.9,0.0,30.0,False,McTrios Comida
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",mctrio_big_mac,McTrío mediano Big Mac,149.0,149.0,0.0,9.9,0.0,30.0,False,McTrios Comida
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",mcnuggets_10,McTrio mediano McNuggets 10 pzas,159.0,159.0,0.0,9.9,0.0,30.0,False,McTrios Comida
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",big_mac,Big Mac Tocino,145.0,145.0,0.0,9.9,0.0,30.0,False,A La Carta Comida
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",big_mac,Big Mac,125.0,125.0,0.0,9.9,0.0,30.0,False,A La Carta Comida
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",coca_cola,Coca-Cola Zero mediana,55.0,55.0,0.0,9.9,0.0,30.0,False,Bebidas
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",coca_cola,Coca-Cola mediana,55.0,55.0,0.0,9.9,0.0,30.0,False,Bebidas
